timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666687960007,108,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687959961,164,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,342172,284,10,10,null,0,1,0
1666687959962,164,HTTP Request,200,OK,Thread Group 1-7,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,49,0,0
1666687959962,49,HTTP Request-0,301,TLS Redirect,Thread Group 1-7,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,49,0,0
1666687960012,114,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687959274,874,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,17450,119,10,10,null,0,0,0
1666687959274,874,HTTP Request,200,OK,Thread Group 1-2,text,true,,17450,119,10,10,https://www.google.com/,858,0,0
1666687958694,1472,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,17490,119,10,10,null,0,0,0
1666687958694,1472,HTTP Request,200,OK,Thread Group 1-9,text,true,,17490,119,10,10,https://www.google.com/,1456,0,0
1666687960092,168,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,342172,284,10,10,null,0,1,0
1666687960092,168,HTTP Request,200,OK,Thread Group 1-3,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687960092,54,HTTP Request-0,301,TLS Redirect,Thread Group 1-3,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687960146,114,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687959786,511,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,17473,119,10,10,null,0,2,0
